tempo de leitura: 0.304565
Iteracao	Erro < 0.001000
0		1.020193
1		0.509657
2		1.018859
3		0.509150
4		1.018192
5		0.508644
6		1.017525
7		0.508138
8		1.016858
9		0.507633
10		1.016191
11		0.507128
12		1.015524
13		0.506623
14		1.014857
15		0.506118
16		1.014190
17		0.505614
18		1.013524
19		0.505111
20		1.012857
21		0.504607
22		1.012189
23		0.504104
24		1.011522
25		0.503601
26		1.010855
27		0.503099
28		1.010188
29		0.502597
30		1.009087
31		0.502095
32		1.007065
33		0.501593
34		1.005049
35		0.501092
36		1.003038
37		0.500592
38		1.001032
39		0.500091
40		0.999031
41		0.499591
42		0.997036
43		0.499091
44		0.995046
45		0.498592
46		0.993061
47		0.498093
48		0.991082
49		0.497594
50		0.989108
51		0.497095
52		0.987139
53		0.496597
54		0.985176
55		0.496099
56		0.983217
57		0.495602
58		0.981264
59		0.495105
60		0.979316
61		0.494608
62		0.977373
63		0.494112
64		0.975435
65		0.493616
66		0.973502
67		0.493120
68		0.971574
69		0.492624
70		0.969652
71		0.492129
72		0.967734
73		0.491635
74		0.965821
75		0.491140
76		0.963914
77		0.490646
78		0.962011
79		0.490152
80		0.960114
81		0.489659
82		0.958221
83		0.489166
84		0.956333
85		0.488673
86		0.954451
87		0.488181
88		0.952573
89		0.487689
90		0.950700
91		0.487197
92		0.948832
93		0.486705
94		0.946968
95		0.486214
96		0.945110
97		0.485724
98		0.943256
99		0.485233
100		0.941407
101		0.484743
102		0.939563
103		0.484253
104		0.937724
105		0.483764
106		0.935889
107		0.483275
108		0.934059
109		0.482786
110		0.932234
111		0.482298
112		0.930414
113		0.481810
114		0.928598
115		0.481322
116		0.926787
117		0.480835
118		0.924981
119		0.480348
120		0.923179
121		0.479861
122		0.921382
123		0.479375
124		0.919589
125		0.478889
126		0.917801
127		0.478403
128		0.916018
129		0.477918
130		0.914239
131		0.477433
132		0.912464
133		0.476948
134		0.910695
135		0.476464
136		0.908929
137		0.475980
138		0.907168
139		0.475496
140		0.905412
141		0.475013
142		0.903660
143		0.474530
144		0.901913
145		0.474047
146		0.900170
147		0.473565
148		0.898431
149		0.473083
150		0.896697
151		0.472601
152		0.894967
153		0.472120
154		0.893241
155		0.471639
156		0.891520
157		0.471159
158		0.889804
159		0.470678
160		0.888091
161		0.470198
162		0.886383
163		0.469719
164		0.884679
165		0.469240
166		0.882979
167		0.468761
168		0.881284
169		0.468282
170		0.879593
171		0.467804
172		0.877906
173		0.467326
174		0.876224
175		0.466848
176		0.874545
177		0.466371
178		0.872871
179		0.465894
180		0.871201
181		0.465418
182		0.869535
183		0.464942
184		0.867873
185		0.464466
186		0.866215
187		0.463990
188		0.864562
189		0.463515
190		0.862913
191		0.463040
192		0.861267
193		0.462566
194		0.859626
195		0.462092
196		0.857989
197		0.461618
198		0.856356
199		0.461144
200		0.854727
201		0.460671
202		0.853102
203		0.460199
204		0.851481
205		0.459726
206		0.849864
207		0.459254
208		0.848251
209		0.458782
210		0.846641
211		0.458311
212		0.845036
213		0.457840
214		0.843435
215		0.457369
216		0.841838
217		0.456899
218		0.840245
219		0.456429
220		0.838655
221		0.455959
222		0.837070
223		0.455489
224		0.835488
225		0.455020
226		0.833910
227		0.454552
228		0.832336
229		0.454083
230		0.830766
231		0.453615
232		0.829200
233		0.453148
234		0.827638
235		0.452680
236		0.826079
237		0.452213
238		0.824524
239		0.451747
240		0.822973
241		0.451280
242		0.821426
243		0.450814
244		0.819882
245		0.450349
246		0.818342
247		0.449883
248		0.816806
249		0.449419
250		0.815274
251		0.448954
252		0.813745
253		0.448490
254		0.812220
255		0.448026
256		0.810699
257		0.447562
258		0.809181
259		0.447099
260		0.807667
261		0.446636
262		0.806157
263		0.446173
264		0.804650
265		0.445711
266		0.803147
267		0.445249
268		0.801648
269		0.444788
270		0.800152
271		0.444327
272		0.798660
273		0.443866
274		0.797171
275		0.443405
276		0.795686
277		0.442945
278		0.794204
279		0.442485
280		0.792726
281		0.442026
282		0.791252
283		0.441567
284		0.789781
285		0.441108
286		0.788313
287		0.440650
288		0.786849
289		0.440191
290		0.785389
291		0.439734
292		0.783932
293		0.439276
294		0.782478
295		0.438819
296		0.781028
297		0.438362
298		0.779582
299		0.437906
300		0.778138
301		0.437450
302		0.776698
303		0.436994
304		0.775262
305		0.436539
306		0.773829
307		0.436084
308		0.772399
309		0.435629
310		0.770973
311		0.435175
312		0.769550
313		0.434721
314		0.768131
315		0.434267
316		0.766715
317		0.433814
318		0.765302
319		0.433361
320		0.763892
321		0.432908
322		0.762486
323		0.432456
324		0.761083
325		0.432004
326		0.759683
327		0.431552
328		0.758287
329		0.431101
330		0.756894
331		0.430650
332		0.755504
333		0.430200
334		0.754117
335		0.429749
336		0.752734
337		0.429299
338		0.751354
339		0.428850
340		0.749977
341		0.428401
342		0.748603
343		0.427952
344		0.747233
345		0.427503
346		0.745866
347		0.427055
348		0.744502
349		0.426607
350		0.743141
351		0.426160
352		0.741783
353		0.425713
354		0.740428
355		0.425266
356		0.739077
357		0.424819
358		0.737728
359		0.424373
360		0.736383
361		0.423927
362		0.735041
363		0.423482
364		0.733702
365		0.423037
366		0.732366
367		0.422592
368		0.731033
369		0.422148
370		0.729703
371		0.421704
372		0.728377
373		0.421260
374		0.727053
375		0.420816
376		0.725732
377		0.420373
378		0.724415
379		0.419931
380		0.723100
381		0.419488
382		0.721789
383		0.419046
384		0.720480
385		0.418605
386		0.719175
387		0.418163
388		0.717872
389		0.417722
390		0.716573
391		0.417282
392		0.715276
393		0.416841
394		0.713983
395		0.416401
396		0.712692
397		0.415962
398		0.711404
399		0.415522
400		0.710119
401		0.415084
402		0.708837
403		0.414645
404		0.707559
405		0.414207
406		0.706282
407		0.413769
408		0.705009
409		0.413331
410		0.703739
411		0.412894
412		0.702472
413		0.412457
414		0.701207
415		0.412021
416		0.699946
417		0.411584
418		0.698687
419		0.411149
420		0.697431
421		0.410713
422		0.696178
423		0.410278
424		0.694928
425		0.409843
426		0.693680
427		0.409409
428		0.692436
429		0.408974
430		0.691194
431		0.408541
432		0.689955
433		0.408107
434		0.688719
435		0.407674
436		0.687485
437		0.407241
438		0.686255
439		0.406809
