tempo de leitura: 0.009461
Iteracao	Erro < 0.001000
0		1.020000
1		0.511140
2		1.011968
3		0.508086
4		1.007952
5		0.505052
6		1.003936
7		0.502030
8		0.999920
9		0.499020
10		0.988165
11		0.496022
12		0.976432
13		0.493036
14		0.964882
15		0.490062
16		0.953513
17		0.487100
18		0.942321
19		0.484151
20		0.931301
21		0.481214
22		0.920450
23		0.478289
24		0.909765
25		0.475376
26		0.899242
27		0.472475
28		0.888878
29		0.469587
30		0.878670
31		0.466711
32		0.868614
33		0.463847
34		0.858707
35		0.460996
36		0.848947
37		0.458156
38		0.839330
39		0.455330
40		0.829854
41		0.452515
42		0.820516
43		0.449713
44		0.811313
45		0.446923
46		0.802242
47		0.444146
48		0.793302
49		0.441381
50		0.784488
51		0.438628
52		0.775800
53		0.435888
54		0.767235
55		0.433160
56		0.758790
57		0.430444
58		0.750463
59		0.427741
60		0.742252
61		0.425051
62		0.734155
63		0.422372
64		0.726170
65		0.419706
66		0.718294
67		0.417053
68		0.710526
69		0.414411
70		0.702863
71		0.411783
72		0.695305
73		0.409166
74		0.687848
75		0.406562
76		0.680491
77		0.403971
78		0.673233
79		0.401391
80		0.666072
81		0.398824
82		0.659005
83		0.396270
84		0.652031
85		0.393728
86		0.645150
87		0.391198
88		0.638358
89		0.388680
90		0.631655
91		0.386175
92		0.625039
93		0.383682
94		0.618508
95		0.381201
96		0.612062
97		0.378733
98		0.605698
99		0.376277
100		0.599416
101		0.373833
102		0.593214
103		0.371402
104		0.587090
105		0.368982
106		0.581044
107		0.366575
108		0.575073
109		0.364180
110		0.569178
111		0.361798
112		0.563356
113		0.359427
114		0.557607
115		0.357069
116		0.551929
117		0.354723
118		0.546321
119		0.352388
120		0.540782
121		0.350066
122		0.535311
123		0.347757
124		0.529907
125		0.345459
126		0.524569
127		0.343173
128		0.519295
129		0.340899
130		0.514086
131		0.338637
132		0.508939
133		0.336387
134		0.503854
135		0.334149
136		0.498830
137		0.331923
138		0.493866
139		0.329709
140		0.488961
141		0.327507
142		0.484114
143		0.325317
144		0.479324
145		0.323138
146		0.474591
147		0.320972
148		0.469913
149		0.318817
150		0.465290
151		0.316673
152		0.460721
153		0.314542
154		0.456206
155		0.312422
156		0.451742
157		0.310314
158		0.447330
159		0.308218
160		0.442970
161		0.306133
162		0.438659
163		0.304059
164		0.434397
165		0.301998
166		0.430185
167		0.299947
168		0.426020
169		0.297908
170		0.421902
171		0.295881
172		0.417832
173		0.293865
174		0.413807
175		0.291861
176		0.409827
177		0.289868
178		0.405893
179		0.287886
180		0.402002
181		0.285915
182		0.398155
183		0.283956
184		0.394350
185		0.282008
186		0.390588
187		0.280071
188		0.386868
189		0.278145
190		0.383188
191		0.276231
192		0.379549
193		0.274327
194		0.375951
195		0.272435
196		0.372391
197		0.270553
198		0.368871
199		0.268683
200		0.365389
201		0.266823
202		0.361945
203		0.264974
204		0.358538
205		0.263137
206		0.355168
207		0.261310
208		0.351834
209		0.259494
210		0.348537
211		0.257688
212		0.345275
213		0.255893
214		0.342048
215		0.254110
216		0.338855
217		0.252336
218		0.335696
219		0.250573
220		0.332571
221		0.248821
222		0.329479
223		0.247080
224		0.326420
225		0.245348
226		0.323394
227		0.243628
228		0.320399
229		0.241917
230		0.317436
231		0.240217
232		0.314504
233		0.238528
234		0.311602
235		0.236848
236		0.308731
237		0.235179
238		0.305890
239		0.233520
240		0.303078
241		0.231872
242		0.300296
243		0.230233
244		0.297542
245		0.228605
246		0.294817
247		0.226986
248		0.292120
249		0.225378
250		0.289451
