tempo de leitura: 1.193075
Iteracao	Erro < 0.001000
0		1.020310
1		0.507099
2		1.019644
3		0.506846
4		1.019310
5		0.506594
6		1.018977
7		0.506342
8		1.018644
9		0.506090
10		1.018310
11		0.505838
12		1.017977
13		0.505586
14		1.017644
15		0.505334
16		1.017310
17		0.505082
18		1.016977
19		0.504830
20		1.016644
21		0.504579
22		1.016310
23		0.504327
24		1.015977
25		0.504076
26		1.015644
27		0.503824
28		1.014733
29		0.503573
30		1.013714
31		0.503322
32		1.012696
33		0.503071
34		1.011680
35		0.502820
36		1.010665
37		0.502569
38		1.009651
39		0.502318
40		1.008639
41		0.502067
42		1.007628
43		0.501816
44		1.006618
45		0.501566
46		1.005610
47		0.501315
48		1.004603
49		0.501065
50		1.003597
51		0.500814
52		1.002593
53		0.500564
54		1.001590
55		0.500314
56		1.000589
57		0.500064
58		0.999588
59		0.499814
60		0.998590
61		0.499564
62		0.997592
63		0.499314
64		0.996596
65		0.499064
66		0.995601
67		0.498814
68		0.994607
69		0.498565
70		0.993615
71		0.498315
72		0.992624
73		0.498066
74		0.991634
75		0.497816
76		0.990646
77		0.497567
78		0.989659
79		0.497318
80		0.988673
81		0.497069
82		0.987689
83		0.496820
84		0.986706
85		0.496571
86		0.985724
87		0.496322
88		0.984744
89		0.496073
90		0.983764
91		0.495825
92		0.982786
93		0.495576
94		0.981810
95		0.495327
96		0.980835
97		0.495079
98		0.979861
99		0.494831
100		0.978888
101		0.494582
102		0.977916
103		0.494334
104		0.976946
105		0.494086
106		0.975977
107		0.493838
108		0.975010
109		0.493590
110		0.974043
111		0.493342
112		0.973078
113		0.493094
114		0.972114
115		0.492847
116		0.971152
117		0.492599
118		0.970190
119		0.492352
120		0.969230
121		0.492104
122		0.968272
123		0.491857
124		0.967314
125		0.491609
126		0.966358
127		0.491362
128		0.965403
129		0.491115
130		0.964449
131		0.490868
132		0.963497
133		0.490621
134		0.962545
135		0.490374
136		0.961595
137		0.490128
138		0.960647
139		0.489881
140		0.959699
141		0.489634
142		0.958753
143		0.489388
144		0.957808
145		0.489141
146		0.956864
147		0.488895
148		0.955921
149		0.488649
150		0.954980
151		0.488402
152		0.954040
153		0.488156
154		0.953101
155		0.487910
156		0.952163
157		0.487664
158		0.951227
159		0.487419
160		0.950291
161		0.487173
162		0.949357
163		0.486927
164		0.948425
165		0.486682
166		0.947493
167		0.486436
168		0.946563
169		0.486191
170		0.945633
171		0.485945
172		0.944705
173		0.485700
174		0.943779
175		0.485455
176		0.942853
177		0.485210
178		0.941929
179		0.484965
180		0.941005
181		0.484720
182		0.940083
183		0.484475
184		0.939163
185		0.484230
186		0.938243
187		0.483986
188		0.937324
189		0.483741
190		0.936407
191		0.483496
192		0.935491
193		0.483252
194		0.934576
195		0.483008
196		0.933663
197		0.482763
198		0.932750
199		0.482519
200		0.931839
201		0.482275
202		0.930928
203		0.482031
204		0.930019
205		0.481787
206		0.929112
207		0.481543
208		0.928205
209		0.481300
210		0.927299
211		0.481056
212		0.926395
213		0.480812
214		0.925492
215		0.480569
216		0.924590
217		0.480326
218		0.923689
219		0.480082
220		0.922789
221		0.479839
222		0.921891
223		0.479596
224		0.920993
225		0.479353
226		0.920097
227		0.479110
228		0.919202
229		0.478867
230		0.918308
231		0.478624
232		0.917415
233		0.478381
234		0.916523
235		0.478139
236		0.915633
237		0.477896
238		0.914743
239		0.477654
240		0.913855
241		0.477411
242		0.912968
243		0.477169
244		0.912082
245		0.476927
246		0.911197
247		0.476685
248		0.910313
249		0.476442
250		0.909431
251		0.476201
252		0.908549
253		0.475959
254		0.907669
255		0.475717
256		0.906789
257		0.475475
258		0.905911
259		0.475233
260		0.905034
261		0.474992
262		0.904158
263		0.474750
264		0.903284
265		0.474509
266		0.902410
267		0.474268
268		0.901537
269		0.474027
270		0.900666
271		0.473785
272		0.899795
273		0.473544
274		0.898926
275		0.473303
276		0.898058
277		0.473063
278		0.897191
279		0.472822
280		0.896325
281		0.472581
282		0.895460
283		0.472340
284		0.894596
285		0.472100
286		0.893733
287		0.471859
288		0.892872
289		0.471619
290		0.892011
291		0.471379
292		0.891152
293		0.471139
294		0.890293
295		0.470899
296		0.889436
297		0.470658
298		0.888580
299		0.470419
300		0.887725
301		0.470179
302		0.886871
303		0.469939
304		0.886018
305		0.469699
306		0.885166
307		0.469460
308		0.884315
309		0.469220
310		0.883465
311		0.468981
312		0.882616
313		0.468741
314		0.881769
315		0.468502
316		0.880922
317		0.468263
318		0.880077
319		0.468024
320		0.879232
321		0.467785
322		0.878389
323		0.467546
324		0.877546
325		0.467307
326		0.876705
327		0.467068
328		0.875865
329		0.466830
330		0.875026
331		0.466591
332		0.874187
333		0.466352
334		0.873350
335		0.466114
336		0.872514
337		0.465876
338		0.871679
339		0.465637
340		0.870845
341		0.465399
342		0.870012
343		0.465161
344		0.869181
345		0.464923
346		0.868350
347		0.464685
348		0.867520
349		0.464448
350		0.866691
351		0.464210
352		0.865863
353		0.463972
354		0.865037
355		0.463735
356		0.864211
357		0.463497
358		0.863386
359		0.463260
360		0.862563
361		0.463022
362		0.861740
363		0.462785
364		0.860918
365		0.462548
366		0.860098
367		0.462311
368		0.859278
369		0.462074
370		0.858460
371		0.461837
372		0.857642
373		0.461600
374		0.856825
375		0.461364
376		0.856010
377		0.461127
378		0.855195
379		0.460890
380		0.854382
381		0.460654
382		0.853569
383		0.460418
384		0.852758
385		0.460181
386		0.851947
387		0.459945
388		0.851138
389		0.459709
390		0.850329
391		0.459473
392		0.849522
393		0.459237
394		0.848715
395		0.459001
396		0.847910
397		0.458765
398		0.847105
399		0.458530
400		0.846302
401		0.458294
402		0.845499
403		0.458058
404		0.844698
405		0.457823
406		0.843897
407		0.457588
408		0.843098
409		0.457352
410		0.842299
411		0.457117
412		0.841501
413		0.456882
414		0.840705
415		0.456647
416		0.839909
417		0.456412
418		0.839114
419		0.456177
420		0.838321
421		0.455943
422		0.837528
423		0.455708
424		0.836736
425		0.455473
426		0.835945
427		0.455239
428		0.835155
429		0.455004
430		0.834367
431		0.454770
432		0.833579
433		0.454536
434		0.832792
435		0.454302
436		0.832006
437		0.454068
438		0.831221
439		0.453834
440		0.830437
441		0.453600
442		0.829654
443		0.453366
444		0.828871
445		0.453132
446		0.828090
447		0.452898
448		0.827310
449		0.452665
450		0.826531
451		0.452431
452		0.825752
453		0.452198
454		0.824975
455		0.451965
456		0.824198
457		0.451731
458		0.823423
459		0.451498
460		0.822648
461		0.451265
462		0.821875
463		0.451032
464		0.821102
465		0.450799
466		0.820330
467		0.450567
468		0.819559
469		0.450334
470		0.818789
471		0.450101
472		0.818021
473		0.449869
474		0.817252
475		0.449636
476		0.816485
477		0.449404
478		0.815719
479		0.449172
480		0.814954
481		0.448939
482		0.814190
483		0.448707
484		0.813426
485		0.448475
486		0.812664
487		0.448243
488		0.811902
489		0.448011
490		0.811142
491		0.447780
492		0.810382
493		0.447548
494		0.809623
495		0.447316
496		0.808865
497		0.447085
498		0.808108
499		0.446853
500		0.807352
501		0.446622
502		0.806597
503		0.446391
504		0.805843
505		0.446160
506		0.805090
507		0.445928
508		0.804337
509		0.445697
510		0.803586
511		0.445467
512		0.802835
513		0.445236
514		0.802085
515		0.445005
516		0.801336
517		0.444774
518		0.800589
519		0.444544
520		0.799842
521		0.444313
522		0.799095
523		0.444083
524		0.798350
525		0.443852
526		0.797606
527		0.443622
528		0.796862
529		0.443392
530		0.796120
531		0.443162
532		0.795378
533		0.442932
534		0.794637
535		0.442702
536		0.793898
537		0.442472
538		0.793159
539		0.442243
540		0.792420
541		0.442013
542		0.791683
543		0.441783
544		0.790947
545		0.441554
546		0.790211
547		0.441325
548		0.789477
549		0.441095
550		0.788743
551		0.440866
552		0.788010
553		0.440637
554		0.787278
555		0.440408
556		0.786547
557		0.440179
558		0.785817
559		0.439950
560		0.785088
561		0.439721
562		0.784359
563		0.439493
564		0.783631
565		0.439264
566		0.782905
567		0.439035
568		0.782179
569		0.438807
570		0.781454
571		0.438579
572		0.780729
573		0.438350
574		0.780006
575		0.438122
576		0.779284
577		0.437894
578		0.778562
579		0.437666
580		0.777841
581		0.437438
582		0.777121
583		0.437210
584		0.776402
585		0.436982
586		0.775684
587		0.436755
588		0.774967
589		0.436527
590		0.774250
591		0.436300
592		0.773535
593		0.436072
594		0.772820
595		0.435845
596		0.772106
597		0.435618
598		0.771393
599		0.435391
600		0.770681
601		0.435163
602		0.769969
603		0.434936
604		0.769258
605		0.434710
606		0.768549
607		0.434483
608		0.767840
609		0.434256
610		0.767132
611		0.434029
612		0.766424
613		0.433803
614		0.765718
615		0.433576
616		0.765012
617		0.433350
618		0.764308
619		0.433124
620		0.763604
621		0.432897
622		0.762901
623		0.432671
624		0.762198
625		0.432445
626		0.761497
627		0.432219
628		0.760796
629		0.431993
630		0.760096
631		0.431768
632		0.759398
633		0.431542
634		0.758699
635		0.431316
636		0.758002
637		0.431091
638		0.757305
639		0.430865
640		0.756610
641		0.430640
642		0.755915
643		0.430415
644		0.755221
645		0.430189
646		0.754527
647		0.429964
648		0.753835
649		0.429739
650		0.753143
651		0.429514
652		0.752452
653		0.429289
654		0.751762
655		0.429065
656		0.751073
657		0.428840
658		0.750385
659		0.428615
660		0.749697
661		0.428391
662		0.749010
663		0.428166
664		0.748324
665		0.427942
666		0.747639
667		0.427718
668		0.746955
669		0.427494
670		0.746271
671		0.427270
672		0.745588
673		0.427046
674		0.744906
675		0.426822
676		0.744225
677		0.426598
678		0.743544
679		0.426374
680		0.742865
681		0.426150
682		0.742186
683		0.425927
684		0.741508
685		0.425703
686		0.740830
687		0.425480
688		0.740154
689		0.425257
690		0.739478
691		0.425033
692		0.738803
693		0.424810
694		0.738129
695		0.424587
696		0.737456
697		0.424364
698		0.736783
699		0.424141
700		0.736111
701		0.423919
702		0.735440
703		0.423696
704		0.734770
705		0.423473
706		0.734100
707		0.423251
708		0.733432
709		0.423028
710		0.732764
711		0.422806
712		0.732097
713		0.422584
714		0.731430
715		0.422361
716		0.730764
717		0.422139
718		0.730100
719		0.421917
720		0.729435
721		0.421695
722		0.728772
723		0.421473
724		0.728110
725		0.421252
726		0.727448
727		0.421030
728		0.726787
729		0.420808
730		0.726126
731		0.420587
732		0.725467
733		0.420365
734		0.724808
735		0.420144
736		0.724150
737		0.419923
738		0.723493
739		0.419702
740		0.722836
741		0.419481
742		0.722180
743		0.419260
744		0.721525
745		0.419039
746		0.720871
747		0.418818
748		0.720218
749		0.418597
750		0.719565
751		0.418376
752		0.718913
753		0.418156
754		0.718262
755		0.417935
756		0.717611
757		0.417715
758		0.716961
759		0.417495
760		0.716312
761		0.417274
762		0.715664
763		0.417054
764		0.715017
765		0.416834
766		0.714370
767		0.416614
768		0.713724
769		0.416394
770		0.713078
771		0.416175
772		0.712434
773		0.415955
774		0.711790
775		0.415735
776		0.711147
777		0.415516
778		0.710504
779		0.415296
780		0.709863
781		0.415077
782		0.709222
783		0.414858
784		0.708582
785		0.414638
786		0.707942
787		0.414419
788		0.707303
789		0.414200
790		0.706665
791		0.413981
792		0.706028
793		0.413762
794		0.705392
795		0.413544
796		0.704756
797		0.413325
798		0.704121
799		0.413106
800		0.703486
801		0.412888
802		0.702853
803		0.412669
804		0.702220
805		0.412451
806		0.701587
807		0.412233
808		0.700956
809		0.412014
810		0.700325
811		0.411796
812		0.699695
813		0.411578
814		0.699066
815		0.411360
816		0.698437
817		0.411143
818		0.697809
819		0.410925
820		0.697182
821		0.410707
822		0.696555
823		0.410490
824		0.695929
825		0.410272
826		0.695304
827		0.410055
828		0.694680
829		0.409837
830		0.694056
831		0.409620
832		0.693433
833		0.409403
834		0.692811
835		0.409186
836		0.692189
837		0.408969
838		0.691568
839		0.408752
840		0.690948
841		0.408535
842		0.690329
843		0.408319
844		0.689710
845		0.408102
846		0.689092
847		0.407885
848		0.688474
849		0.407669
850		0.687858
851		0.407452
852		0.687242
853		0.407236
854		0.686626
855		0.407020
856		0.686012
857		0.406804
858		0.685398
859		0.406588
860		0.684784
861		0.406372
862		0.684172
863		0.406156
864		0.683560
865		0.405940
866		0.682949
867		0.405724
868		0.682338
869		0.405509
870		0.681729
871		0.405293
872		0.681119
873		0.405078
874		0.680511
875		0.404863
876		0.679903
877		0.404647
878		0.679296
879		0.404432
880		0.678690
881		0.404217
882		0.678084
