tempo de leitura: 0.020722
Iteracao	Erro < 0.001000
0		0.661522
1		0.430001
2		0.089389
3		0.010394
4		0.003918
5		0.003547
6		0.002824
7		0.002996
8		0.003349
9		0.001961
10		0.002304
11		0.003245
12		0.002761
13		0.002616
14		0.003624
15		0.003044
16		0.002555
17		0.002177
18		0.001956
19		0.003050
20		0.002166
21		0.002677
22		0.002454
23		0.003012
24		0.002864
25		0.002622
26		0.003225
27		0.002165
28		0.003101
29		0.002812
30		0.003277
31		0.003467
32		0.003138
33		0.002564
34		0.002726
35		0.003386
36		0.002790
37		0.002609
38		0.002862
39		0.002827
40		0.002442
41		0.002688
42		0.003249
43		0.002389
44		0.002601
45		0.002875
46		0.003096
47		0.002890
48		0.003391
49		0.002588
50		0.002677
51		0.004087
52		0.003192
53		0.002751
54		0.002932
55		0.003081
56		0.003589
57		0.003297
58		0.002081
59		0.002596
60		0.002354
61		0.002722
62		0.002613
63		0.002600
64		0.003352
65		0.003234
66		0.002344
67		0.002328
68		0.003546
69		0.003280
70		0.002778
71		0.002709
72		0.002301
73		0.003467
74		0.003458
75		0.002468
76		0.002871
77		0.002674
78		0.002039
79		0.002150
80		0.003051
81		0.003949
82		0.004098
83		0.003379
84		0.003319
85		0.003273
86		0.002354
87		0.002379
88		0.002136
89		0.003070
90		0.002988
91		0.002060
92		0.003398
93		0.002801
94		0.003239
95		0.002652
96		0.003026
97		0.003302
98		0.003232
99		0.002130
100		0.003087
101		0.002780
102		0.003978
103		0.003475
104		0.002638
105		0.003110
106		0.003221
107		0.002696
108		0.003555
109		0.004313
110		0.003337
111		0.002634
112		0.002598
113		0.003235
114		0.003119
115		0.002516
116		0.002604
117		0.001930
118		0.002684
119		0.001957
120		0.002770
121		0.002935
122		0.003715
123		0.003755
124		0.002690
125		0.002192
126		0.003022
127		0.002439
128		0.002875
129		0.002148
130		0.002788
131		0.003398
132		0.003021
133		0.002429
134		0.003367
135		0.003116
136		0.003252
137		0.003206
138		0.002943
139		0.003128
140		0.002678
141		0.002852
142		0.002846
143		0.002730
144		0.002982
145		0.003694
146		0.003164
147		0.001998
148		0.002493
149		0.002628
150		0.003246
151		0.003712
152		0.002434
153		0.002685
154		0.003548
155		0.003412
156		0.003609
157		0.003570
158		0.002517
159		0.002743
160		0.002768
161		0.003300
162		0.003204
163		0.002814
164		0.003124
165		0.003353
166		0.003177
167		0.003907
168		0.003946
169		0.002386
170		0.002744
171		0.002719
172		0.003294
173		0.002932
174		0.003351
175		0.002077
176		0.003263
177		0.003495
178		0.002206
179		0.002990
180		0.002684
181		0.002556
182		0.002976
183		0.003153
184		0.002809
185		0.002772
186		0.003400
187		0.003404
188		0.003275
189		0.002808
190		0.002603
191		0.002404
192		0.002444
193		0.001920
194		0.003744
195		0.003234
196		0.002196
197		0.001536
198		0.002675
199		0.002757
200		0.003466
201		0.002859
202		0.002130
203		0.002208
204		0.002473
205		0.002161
206		0.003255
207		0.003520
208		0.002026
209		0.003316
210		0.003339
211		0.002779
212		0.002530
213		0.002641
214		0.002261
215		0.003719
216		0.003675
217		0.002255
218		0.002553
219		0.002531
220		0.002279
221		0.002605
222		0.002795
223		0.002596
224		0.002644
225		0.002685
226		0.003197
227		0.003171
228		0.003079
229		0.003193
230		0.002578
231		0.002574
232		0.002022
233		0.003383
234		0.003377
235		0.002435
236		0.002707
237		0.002630
238		0.001907
239		0.003754
240		0.003808
241		0.002580
242		0.003167
243		0.002885
244		0.002940
245		0.002973
246		0.003184
247		0.001958
248		0.003138
249		0.003629
250		0.002789
251		0.003242
252		0.003170
253		0.003755
254		0.003691
255		0.002201
256		0.002561
257		0.003193
258		0.002217
259		0.002190
260		0.002650
261		0.003353
262		0.002714
263		0.002829
264		0.002599
265		0.003249
266		0.003271
267		0.002591
268		0.002932
269		0.002820
270		0.002651
271		0.003298
272		0.003445
273		0.003040
274		0.003158
275		0.002041
276		0.003270
277		0.003582
278		0.002542
279		0.002993
280		0.003290
281		0.003106
282		0.002067
283		0.002161
284		0.001923
285		0.003653
286		0.002664
287		0.003448
288		0.002018
289		0.002453
290		0.002178
291		0.002055
292		0.003365
293		0.003164
294		0.002610
295		0.002038
296		0.002502
297		0.002332
298		0.003347
299		0.003025
